Date,Ativo,Retorno_Diario
2017-12-11,BBAS3.SA,-0.008077232430163561
2017-12-12,BBAS3.SA,0.022294311882001594
2017-12-13,BBAS3.SA,-0.023961547560740315
2017-12-14,BBAS3.SA,-0.003927936215504246
2017-12-15,BBAS3.SA,0.005586359381797745
2017-12-18,BBAS3.SA,0.013399151037645662
2017-12-19,BBAS3.SA,-0.005805002711823604
2017-12-20,BBAS3.SA,0.0006485801147326775
2017-12-21,BBAS3.SA,0.011021284390553276
2017-12-22,BBAS3.SA,0.003526735378515111
2017-12-26,BBAS3.SA,0.01086271941514183
2017-12-27,BBAS3.SA,0.012325765520876608
2017-12-28,BBAS3.SA,-0.006555975699610861
2017-12-29,BBAS3.SA,0.0
2018-01-02,BBAS3.SA,0.0348834615402942
2018-01-03,BBAS3.SA,0.012754741944405179
2018-01-04,BBAS3.SA,0.00959480187887185
2018-01-05,BBAS3.SA,0.0
2018-01-08,BBAS3.SA,0.0023763134965395505
2018-01-09,BBAS3.SA,-0.009481597009308507
2018-01-10,BBAS3.SA,-0.0041877843354457545
2018-01-11,BBAS3.SA,0.022829763713674067
2018-01-12,BBAS3.SA,0.0023495904863544137
2018-01-15,BBAS3.SA,0.004980646021076396
2018-01-16,BBAS3.SA,0.008746294179394098
2018-01-17,BBAS3.SA,0.02369933642296207
2018-01-18,BBAS3.SA,-0.006775455431877742
2018-01-19,BBAS3.SA,-0.006537532780223287
2018-01-22,BBAS3.SA,0.0034333321896780067
2018-01-23,BBAS3.SA,0.00427678443347923
2018-01-24,BBAS3.SA,0.07864904823941599
2018-01-26,BBAS3.SA,0.031060408097441927
2018-01-29,BBAS3.SA,-0.0056162216023125655
2018-01-30,BBAS3.SA,-0.003851106587150932
2018-01-31,BBAS3.SA,0.022680260939561547
2018-02-01,BBAS3.SA,0.00277206162726662
2018-02-02,BBAS3.SA,-0.01357154974752628
2018-02-05,BBAS3.SA,-0.02980856252591446
2018-02-06,BBAS3.SA,0.0438547509034477
2018-02-07,BBAS3.SA,0.001006507668910528
2018-02-08,BBAS3.SA,-0.031415178593464765
2018-02-09,BBAS3.SA,-0.01868183085733266
2018-02-14,BBAS3.SA,0.04600768288908563
2018-02-15,BBAS3.SA,0.008594181359106612
2018-02-16,BBAS3.SA,0.010025338834914521
2018-02-19,BBAS3.SA,-0.016625301920465962
2018-02-20,BBAS3.SA,0.02952298931276598
2018-02-21,BBAS3.SA,0.007843486997168636
2018-02-22,BBAS3.SA,0.031128189795403216
2018-02-23,BBAS3.SA,0.0
2018-02-26,BBAS3.SA,0.014622682028344158
2018-02-27,BBAS3.SA,-0.009763454726400056
2018-02-28,BBAS3.SA,-0.018778973987685355
2018-03-01,BBAS3.SA,0.007177229915362959
2018-03-02,BBAS3.SA,0.008258600270258487
2018-03-05,BBAS3.SA,0.008293886279649998
2018-03-06,BBAS3.SA,0.022091450900426413
2018-03-07,BBAS3.SA,-0.006897694141548283
2018-03-08,BBAS3.SA,0.005325419522926644
2018-03-09,BBAS3.SA,0.0066784352631859
2018-03-12,BBAS3.SA,-0.005261832166841285
2018-03-13,BBAS3.SA,-0.012633696238364633
2018-03-14,BBAS3.SA,-0.008635242590805725
2018-03-15,BBAS3.SA,-0.0021184145350652273
2018-03-16,BBAS3.SA,0.0002359328563321661
2018-03-19,BBAS3.SA,-0.023584575485544157
